Frage,a,b,c,d,
37. Wer begeht eine strafbare Freiheitsberaubung gemäß § 239 StGB?,A) Wer einen Menschen gegen dessen Willen an einen Baum ankettet,B) Wer einen Menschen bei Begehung eines Diebstahls gemäß § 127 Abs. 1 StPO vorläufig festnimmt,"C) Wer unbefugt alle Ausgänge eines Gebäudes blockiert, sodass niemand nach Hause gehen kann","D) Wer einen Menschen in einen Raum einsperrt, der sich im Erdgeschoß befindet und mit leicht zu öffnenden Fenstern ausgestattet  ist.",.
38. Welche Aussagen zum Strafantrag sind gemäß StGB richtig?,A) Der Strafantrag ist vom Geschädigten zu stellen,"B) Der Strafantrag ist erforderlich, um Schadensersatzansprüche durchsetzen zu können",C) Der Strafantrag muss schriftlich gestellt werden,D) Der Strafantrag ist innerhalb eines Jahres nach Kenntnis von Tat und Täter zu stellen,.
39. Wann begehen Sie eine Amtsanmaßung gemäß StGB?,"A) Wenn ich zu Hause vor Freunden damit angebe, dass ich Mitarbeiter des Verfassungsschutzes sei",B) Wenn ich an einem fremden Auto einen Verwarnungszettel anbringe,C) Wenn ich einen Einbrecher auf frischer Tat ertappe und ihn vorläufig festnehme,,
"40. Die vorsätzliche einfache Körperverletzung (§ 223 StGB) ist erfüllt, wenn z. B. ein Täter einen anderen „körperlich misshandelt"". Wann liegt ein solcher Fall vor?","A) Wenn durch Verwendung einer Waffe ein Gesundheitsschaden verursacht wird, z. B. mit einem Schlagring","B) Wenn eine schwere Gesundheitsschädigung hervorgerufen wird, z. B. der Verlust des Sehvermögens auf einem Auge","C) Wenn das körperliche Wohlbefinden beeinträchtigt wird, z. B. durch eine Ohrfeige.",,
"41. Was bedeutet es, wenn jemand eine durch Notwehr gebotene Handlung vornimmt?",A) Die Notwehrhandlung ist nicht tatbestandsmäßig,B) Die Notwehrhandlung ist nicht rechtswidrig,C) Die Notwehrhandlung ist nicht schuldhaft,,
42. Wer begeht Begünstigung gemäß StGB?,"A) Wer einem anderen dabei hilft, eine Straftat zu planen.","B) Wer einem anderen dabei hilft, nach einer Straftat die Vorteile der Tat zu sichern, z.
B. die Beute zu verstecken.","C) Wer einem anderen dabei hilft, eine Straftat auszuführen.",,
43. Welche Aussage zum Diebstahl gemäß § 242 StGB ist richtig?,"A) Nur bewegliche Sachen, z. B. ein Kraftfahrzeug, können gestohlen werden.","B) Nur wenn der Diebstahl erfolgreich ausgeführt wurde, wird er bestraft.","C) Nur die Sachen eines Eigentümers, aber nicht die Sachen eines Besitzers können gestohlen werden.",,
44. Wie können Sie Konflikte am besten lösen?,A) Ich beschreibe meinen eigenen Lösungsweg als den einzig richtigen.,B) Ich bleibe bei meiner Meinung und zeige dadurch Stärke.,C) Ich zeige mich offen für die Position und Haltung des anderen.,,
45. Welches Verhalten kann deeskalierend wirken?,"A) Laut sprechen, um sich Gehör zu verschaffen.",B) Unbeteiligte Personen zur eigenen Unterstützung einbeziehen.,C) Den intimen Nahbereich des Gegenübers beachten.,,
46. Wie sollten Sie als Wachperson eine Person mit seelischer Behinderung befragen?,"A) Ich sollte der Person deutlich machen, dass sie für ihren Zustand selbst verantwortlich ist und sie zur Sachlichkeit auffordern.",B) Ich sollte die Person tolerant und respektvoll behandeln.,"C) Ich sollte der Person verständlich machen, dass ihre Aussagen rein gefühlsgesteuert (emotional) und daher wenig glaubhaft sind.",,
47. Können Sie Menschenkenntnis erwerben?,"A) Nein, erwerben kann ich sie nicht. Sie ist angeboren","B) Ja, durch eigene Erfahrungen und Beobachtung","C) Ja, aber ausschließlich durch das Lesen von Fachbüchern",,
48. Eine Wachperson hat bei der Erledigung eines Auftrags einen Fehler gemacht. Sie ärgert sich sehr darüber und ist stark frustriert. Was kann die Folge sein?,A) Die Wachperson macht sich keine weiteren Gedanken und freut sich auf den Feierabend.,"B) Die Wachperson ist froh, dass sie ihren Auftrag erledigt hat und dass sie sich neuen Aufgaben zuwenden kann.",C) Die Wachperson wird aggressiv und fängt Streit mit Kollegen an.,,
49. Welche Aussage zu Gruppen kann zutreffen?,A) Gruppen funktionieren besser ohne Gruppenführer.,B) Gruppen unterdrücken bei ihren Mitgliedern Talente und Kreativität.,C) Gruppen nehmen Einfluss auf das soziale Verhalten der Gruppenmitglieder.,,
50. Welche Verhaltensänderungen können bei betrunkenen Personen beobachtet werden?,A) Sie lassen sich von ihrem Verstand leiten und sind offen für sachliche Argumente,B) Sie reagieren überlegt und mit Bedacht,C) Sie reagieren stärker emotional und werden dadurch unberechenbar,,
51. Wie sollten Sie sich als Wachperson bei einer Befragung verhalten?,A) Die zu befragende Person unter Zeitdruck setzen,B) Die zu befragende Person ausreden lassen,C) Jeden Blickkontakt mit der zu befragenden Person vermeiden,,
52.  Welche Aussage über Aggressionen ist richtig?,A) Aggressionen können körperlich und verbal ausgetragen werden.,"B) Aggressionen richten sich gegen Personen, aber nie gegen Sachen.",C) Aggressionen sind Ausdruck eines hohen Selbstvertrauens.,,
53. Welche Aussage über die Motivation ist richtig?,"A) Die Motivation ist eine angeborene Eigenschaft des Menschen, die durch äußere Faktoren nicht beeinflusst werden kann.","B) Die Motivation einer Person wird ausschließlich durch Anstöße von außen ausgelöst, z. B. durch die Vorgaben eines Vorgesetzten.",C) Die Motivation wird durch die eigene Antriebsstärke und eigene Emotionen beeinflusst.,,
54. Wie lässt sich negativer Stress verringern?,A) Durch ruhiges Atmen in Stresssituationen.,B) Durch das Ignorieren von belastenden und unangenehmen Situationen.,C) Durch die Einnahme von Beruhigungsmitteln.,,
55. Was kann die Folge von häufigen Frustrationen sein?,A) Stärkung des Selbstwertgefühls,B) Erhöhung des Selbstvertrauens,C) Entmutigung und das vorzeitige Aufgeben eines Vorhabens,,
56. Was ist ein typisches Ziel aggressiven Verhaltens bei Menschen?,A) Die Durchsetzung eigener Wünsche und Interessen.,B) Die Durchsetzung von ausschließlich negativen Vorhaben.,C) Die Durchsetzung fremder Absichten und Anliegen.,,
57. Was sollten Sie als Wachperson beim Ansprechen von Gruppen beachten?,"A) Meine Art zu kommunizieren sollte ""kumpelhaft"" sein und zeigen, dass ich die gleichen Interessen und Ziele verfolge.","B) Meine Kommunikation sollte Überlegenheit ausdrücken und meine Autorität stärken. Deshalb spreche ich jeden mit „Du"" an.",C) Meine Kommunikation sollte in verbaler und nonverbaler Weise freundlich und offen sein.,,
58. Wie lässt sich das typische Verhalten von Jugendlichen beschreiben?,A) Sie sind angepasst und befolgen ohne Widerstand die Anweisungen von Erwachsenen.,B) Sie empfinden Autorität als etwas Normales und reagieren gehorsam.,C) Sie wollen sich vom Elternhaus lösen und suchen nach eigenen Vorbildern.,,
"59. Wie sollten Sie sich als Wachperson gegenüber Opfern schwerer Gewalt verhalten, wenn diese von ihren Erlebnissen berichten?",A) Ich sollte das Opfer völlig ignorieren und Dienst nach Vorschrift machen.,"B) Ich sollte zum Schutze meiner Gefühle deutlich machen, dass ich kein Interesse daran habe und nicht damit belastet werden will.","C) Ich sollte aufmerksam und interessiert zuhören, damit ich besser helfen kann.",,
"60. Wie kann in einem Gespräch der „Sender"" einer „Botschaft"" sicherstellen, dass er vom „Empfänger"" richtig verstanden wurde?","A) Indem er sehr laut spricht, damit er sicher ist, dass die Botschaft angekommen ist.",B) Indem er sich wichtige Aussagen und Hinweise vom Empfänger wiederholen lassen.,"C) Indem er sehr leise spricht, damit andere nicht mithören können und der Empfänger erkennt, dass nur er gemeint wird.",,
61. Welche Aussage zu Gesten ist richtig?,A) Gesten begleiten und unterstreichen den Inhalt des Gesagten,B) Gesten haben in allen Ländern dieselbe Bedeutung,C) Gesten lenken vom Inhalt des Gesagten ab und sollten bewusst unterdrückt werden,,
62. Ist Menschenkenntnis für Sie als Wachperson wichtig?,"A) Ja, aber nur im Umgang mit erwachsenen Personen. Bei Jugendlichen hilft sie nicht, da diese immer spontan reagieren.","B) Nein, sie verhindert in gefährlichen Situationen, dass ich schnell reagiere.","C) Ja, sie hilft mir, andere Menschen besser einschätzen zu können.",,
"63. Ist es möglich, mit einem Waffenschein erlaubnispflichtige Munition zu erwerben?","A) Nein, der Waffenschein umfasst nur die Erlaubnis zum Führen von Waffen","B) Ja, der Waffenschein erlaubt den Erwerb von Munition für die Schusswaffen, die in ihm eingetragen sind","C) Nein, die Munition kann nur mittels eines Munitionserwerbsscheins oder einer entsprechend gesiegelten Waffenbesitzkarte erworben werden","D) Ja, wenn die Erlaubnis zum Erwerb von Munition im Waffenschein eingetragen ist",.
64. Welche Aussagen zu Anscheinswaffen sind gemäß WaffG richtig?,A) Anscheinswaffen dürfen im Bewachungsgewerbe zur Abschreckung potenzieller Täter geführt werden,"B) Der Transport von Anscheinswaffen ist nur in einem verschlossenen Behältnis zulässig, z.B. vom Waffengeschäft zur eigenen Wohnung","C) Anscheinswaffen dürfen geführt werden, wenn es der Auftraggeber zur Erfüllung eines Bewachungsauftrages verlangt",D) Anscheinswaffen sind auch unbrauchbar gemachte Schusswaffen mit dem Aussehen von Feuerwaffen,.
65. Wie lange gilt gemäß WaffG ein Waffenschein?,A) Er wird für bestimmte Schusswaffen auf höchstens zwei Jahre erteilt. Die Geltungsdauer kann zweimal um höchstens je zwei Jahre verlängert werden,B) Er wird für bestimmte Schusswaffen auf höchstens drei Jahre erteilt. Die Geltungsdauer kann zweimal um höchstens je drei Jahre verlängert werden,C) Er ist nach drei Jahren unbefristet gültig,"D) Er kann für einen kürzeren Zeitraum als drei Jahre erteilt werden. Dies gilt, wenn nur ein vorübergehendes Bedürfnis nachgewiesen wird",.
66. Was ist gemäß WaffG anzeigepflichtig?,A) Wenn der Waffenschein verloren wurde.,B) Wenn eine erlaubnispflichtige Waffe beschädigt wurde.,C) Wenn eine Person durch Waffengebrauch verletzt wurde.,,
"67. Welche Rechtsverordnung schreibt bewaffneten Wachpersonen vor, dass sie regelmäßig an Schießübungen teilnehmen müssen?",A) Die Unfallverhütungsvorschrift DGUV Vorschrift 23,B) Das Waffengesetz,C) Die Bewachungsverordnung,,
"68. Wer darf gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, Geldtransporte durchführen?",A) Wer für diese Aufgabe besonders ausgebildet und in sie eingewiesen ist,"B) Wer mindestens 21 Jahre alt, zuverlässig und gesundheitlich belastbar ist","C) Wer 18 Jahre alt, persönlich zuverlässig und geeignet ist",D) Wer die Sachkundeprüfung gemäß § 34a GewO bestanden hat,.
"69. Welche Aussagen zu Diensthunden sind gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, richtig?","A) Ungeprüfte Hunde dürfen eingesetzt werden, wenn innerhalb des Kalenderjahres die Gebrauchshundeprüfung beantragt wird","B) Hunde, die zur Bösartigkeit neigen, müssen im Dienst einen Beißkorb tragen",C) Als Diensthunde dürfen nur geprüfte Hunde mit Hundeführern eingesetzt,D) Ungeprüfte Hunde dürfen nur zu Wahrnehmungs- und Meldeaufgaben eingesetzt werden,.
"70. Was bestimmt die Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach· und Sicherungsdienste, zur Dienstanweisung?","A) Dass der Gewerbetreibende dafür sorgen muss, dass das Wach- und Sicherungspersonal anhand der Dienstanweisung vor Aufnahme der Tätigkeit und darüber hinaus regelmäßig unterwiesen wird","B) Dass der Gewerbetreibende dafür sorgen muss, dass das Wach- und Sicherungspersonal jährlich arbeitsmedizinisch untersucht wird","C) Dass der Gewerbetreibende dafür sorgen muss, dass in der speziellen Dienstanweisung Umfang und Ablauf von Nebentätigkeiten schriftlich festgelegt sind","D) Dass der Gewerbetreibende dafür sorgen muss, dass das Wach- und Sicherungspersonal im Gefahrenfall Weisungen des Auftraggebers befolgen muss, auch wenn diese der Arbeitssicherheit widersprechen",.
"71. Unter welchen Voraussetzungen darf gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste, das Wach- und Sicherungspersonal mit Schusswaffen ausgerüstet werden?","A) Das Wach- und Sicherungspersonal darf mit Schusswaffen ausgerüstet werden, wenn es einmal monatlich an der Waffe ausgebildet wird",B) Der Bewachungsgewerbetreibende muss die Ausrüstung des Wach- und Sicherungspersonals mit Schusswaffen ausdrücklich anordnen,"C) Das Wach- und Sicherungspersonal darf mit Schusswaffen ausgerüstet werden, wenn es das 21. Lebensjahr vollendet hat","D) Das Wach- und Sicherungspersonal muss nach dem Waffengesetz zuverlässig, geeignet, sachkundig sowie an der Waffe ausgebildet sein",.
"72. Welche Tätigkeiten sind Wach- und Sicherungstätigkeiten gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23, Wach- und Sicherungsdienste?",A) Winter- und Kehrdienst,B) Objekt- und Werkschutz,C) Geld- und Werttransporte,"D) private Ermittlungen, Observation",.
73. Gemäß der DGUV Vorschrift 23 ist im Wachdienst die Einnahme berauschender Mittel verboten. Was sind verbotene berauschende Mittel?,"A) Medikamente, die z. B. müde machen",B) Kaffee und Tee,C) Zigaretten und E-Zigaretten,,
74. Müssen Sie als Wachperson Weisungen des Auftraggebers in jedem Fall beachten?,"A) Ja. Ich muss alle Weisungen des Auftraggebers befolgen, da ich als angestellte Wachperson weisungsgebunden bin.","B) Ja. Ich muss auch Nebentätigkeiten ausführen, die nicht in der Dienstanweisung beschrieben sind, wenn dies die Personalsituation im Betrieb erfordert.","C) Nein. Tätigkeiten, die nicht in der speziellen Dienstanweisung festgelegt sind, darf ich nicht ausführen.",,
75. Das Wach- und Sicherungspersonal muss gemäß der DGUV Vorschrift 23 die der Arbeitssicherheit dienenden Maßnahmen unterstützen. Was zählt dazu?,A) Sie müssen bei der Teilnahme an Schießübungen in Raumschießanlagen einen Augen- und Gehörschutz tragen.,"B) Sie müssen bei allen Bewachungstätigkeiten Reizstoffsprühgeräte mitführen, damit sie Angriffe oder störende Personen abwehren können.","C) Sie müssen Weisungen des Auftraggebers auch dann befolgen, wenn sie hierfür keine Befähigung besitzen, z. B. die Durchführung einer Aufzugsbefreiung.",,
76. Wie wird der Widerstandswert eines Sicherheitszauns erhöht?,A) Durch Installieren einer Videoanlage,B) Durch ausreichende Beleuchtung. So werden unbefugte Personen abgeschreckt,"C) Durch Verwenden hochfester Materialien, z.B. eines Stahlprofilzauns",D) Durch Anbringen eines Übersteig- und Unterkriechschutzes,.
77. Was sind Funktionen einer Brandmeldezentrale?,"A) Sie aktiviert im Brandfall vorhandene Klimaanlagen, um schädliche Rauchgase abzusaugen",B) Sie wertet die empfangenen Signale der angeschlossenen Melder aus,C) Sie aktiviert automatisch am Brandherd eingerichtete nasse Sprinkleranlagen,"D) Sie überwacht die Brandmeldeanlage und zeigt Fehler optisch und akustisch an, z.B. Störungen der Energieversorgung",.
78. Welche Merkmale sind kennzeichnend für den Sicherheitswert eines Schließzylinders?,A) Anzahl der Stiftzuhaltungen,B) Bauform und Baulänge,C) Anzahl der mitgelieferten Schlüssel,D) Bohrschutz,.
79. Welche Vorteile bietet drahtlose Kommunikationstechnik gegenüber der drahtgebundenen Technik?,A) Sehr große Reichweiten,B) Freie Standortwahl,C) Schneller Rufaufbau,D) Mithören ausgeschlossen,.
80. Welche Vorgehensweise mit dem Handfeuerlöscher ist falsch?,A) Mehrere Handfeuerlöscher nacheinander einsetzen,B) Flächenbrände von vorne unten beginnend löschen,C) Tropf- oder Fließbrände von oben nach unten löschen,,
81. Wo werden Generalhauptschlüsselanlagen verwendet?,A) Mehrfamilienhäuser,B) Großunternehmen,C) Mietwohnung,,
82. Welche Aussage zu Handfeuerlöschern ist richtig?,A) Handfeuerlöscher mit dem Löschmittel Wasser sind für alle Brandklassen geeignet.,B) Handfeuerlöscher werden nur als Dauerdrucklöscher angeboten.,C) Es sind tragbare Kleinlöschgeräte mit einem Gesamtgewicht bis maximal 20 kg.,,