Frage,a,b,c,d,,
1. Was verstößt gegen die Rechtsordnung der Bundesrepublik Deutschland?,A) Die Bestrafung einer Person mit einer mehrjährigen Freiheitsstrafe ohne gesetzliche Grundlage,"B) Die Erzwingung eines Geständnisses durch Anwendung von Folter, z. B. durch Schläge",C) Die Verweigerung der Erteilung einer Erlaubnis für das Bewachungsgewerbe aufgrund Unzuverlässigkeit des Antragstellers,D) Die Sicherstellung von Gegenständen zu Beweiszwecken durch die Polizei,.,
"2. Welche Institutionen zählen zur ""gesetzgebenden Gewalt""?",A) Die Staatsanwaltschaft ,B) Der Bundestag,C) Der Bundesrat ,D) Die Regierungen der Bundesländer ,.,
3. Welches sind im Grundgesetz verankerte Verfassungsprinzipien Deutschlands?,A) Monarchie,B) Rechtsstaat,C) Umweltschutz,D) Demokratie,.,
4. Das deutsche Strafrecht…,"A) ist Teil des privaten Rechts, weil es die Rechtsbeziehungen zwischen Bürger und Bürger regelt.",B) setzt für die Strafbarkeit immer eine vollendete Rechtsgutverletzung voraus.,"C) setzt für die Strafbarkeit immer ein willensgesteuertes Verhalten eines Täters voraus, dass aus einem Aktiven Tun aber auch aus einem Unterlassen bestehen kann.",D) kennt die beiden Strafarten Freiheitsstrafe und Geldstrafe.,.,
5. Welche Angaben muss der ausweis gemäß bewachv beinhalten?,A) Geburtsdatum der Wachperson,B) Namen und Anschrift des Gewerbetreibenden,C) Bewacherregisteridentikationnummern der Wachperson und des Bewachungsunternemers,D) Wohnanschrift der Wachperson,E) Unerschrift des Auftraggebers,.
6. Was ist ein Bewachungsgewerbe nach §34a GewO?,A) Wer gewerbsmäßig Ermittlungen für fremde ausführt,B)  Wer gewerbsmäßig fremdes Leben oder Eigentum schützt,C) Wer fremdes Leben oder Eigentum schützt,D) Wer gewerbsmäßig das eigene Leben oder Eigentum schützt,.,
"7.Was muss ein Unternehmer beachten, wenn er ein Sicherheitsunternehmen eröffnen will?",A) Prüfung durch das Bundeskriminalamt durchführen lassen (BKA),B) Haftpflichtversicherung abschließen,C) Ausreichende finanzielle Mittel für die ersten 12 Monate nachweisen,D) geordnete Vermögensverhältnisse,.,
8.Wie nennt man die Zulassung eines Unternehmens um im Sicherheitsbereich tätig werden zu dürfen?,A) Bewachungserlaubnis,B) Schutzerlaubnis,C) Sicherheitsdiensterlaubnis,D) gewählt Wacherlaubnis,.,
9. Was ist Sinn des BDSG?,A) Er schützt nur geheime Firmendaten.,B) Es soll Schutz vor Missbrauch personenbezogener Daten bieten.,C) Es schützt die informationelle Selbstbestimmung.,"D)  Es schützt Daten des Bundes, deswegen heißt es ja BDSG.",.,
10. Was ist eine nicht-öffentliche-Stelle?,A) jede natürliche Person,B) juristische Personen sind i.d.R auch nichtöffentliche Stellen,C) Bundeszentralregister,D)  Agentur für Arbeit,.,
11. Wann dürfen personenbezogene Daten verarbeitet werden?,"A) Ausnahmsweise auch für Archivzwecke, wissenschaftliche oder historische Forschungszwecke sowie zu statistischen Zwecken","B) Grundsätzlich nur für festgelegte, eindeutige und legitime Zwecke",C) Jederzeit sobald der Betroffene darüber informiert wird,"D) Ausschließlich wenn ein kompletter Datensatz vorliegt, der durch den Betroffenen nicht berichtigt werden muss.",.,
"12. Die DS-GVO und das BDSG regeln die „Auftragsverarbeitung“ von personenbezogenen Daten.
Welche Aussagen dazu sind richtig?",A) Die Verarbeitung durch ein Unternehmen durch einen Auftragsverarbeiter erfolgt in der Regel aufgrund eines Vertrages,"B) Der Auftragsverarbeiter ist davon befreit, technische und organisatorische Schutzmaßnahmen zu ergreifen",C) Der Auftragsverarbeiter darf ohne Rücksicht mit dem Auftraggeber weitere Subunternehmer zur Erfüllung der Aufgabe einsetzen,D) Der Auftragsverarbeiter haftet bei Datenschutzverletzungen,.,
13. Welche Rechtsgüter schützt Angriffsnotstand gemäß § 904 BGB? ,A) Nur die Rechtsgüter Leben und Geundheit,B) Eigene Rechtsgüter jeder Art,C) Fremde Rechtsgüter jeder Art,D) Nur die Rechtsgüter Eigentum und Besitz,.,
14. In welchen Fällen ist Nothilfe zulässig?,"A) Ein Passant sieht, wie zwei Jugendliche grundlos auf einen Obdachlosen einschlagen.",B) Ein streunender Hund greift einen Menschen an.,C) Eine Person wird von einem Räuber überfallen.,.,.,
15. Welche Aussagen zum Anspruch gemäß BGB sind richtig?,"A) Ein Anspruch beinhaltet das Recht, diesen immer mit Gewalt durchzusetzen","B) Ein Anspruch ist das Recht, von einem anderen ein bestimmtes Tun, Unterlassen oder Dulden zu verlangen","C) Ein Anspruch ist z. B. das Recht, die Bezahlung des vereinbarten Kaufpreises vom Käufer zu verlangen",.,.,
16.  Was unterscheidet die Notwehr gemäß § 32 STGB von der Notwehr gemäß § 227 BGB?,"A) Eine Tat, die durch Notwehr gemäß § 32 STGB geboten ist, ist nicht rechtswidrig. Das heißt, es erfolgt in der Regel keine Bestrafung","B)  Eine Tat, die durch Notwehr gemäß § 227 BGB geboten ist, ist nicht widerrechtlich. Das heißt, die Schadensersatzpflicht ist grundsätzlich ausgeschlossen","C)  Der Angriff nach § 32 STGB muss schuldhaft sein, der Angriff nach § 227 BGB muss rechtswidrig sein","D) Die Notwehr nach § 32 STGB schützt eigene und fremde Rechtsgüter, die Notwehr nach § 227 BGB nur eigene Rechtsgüter",.,
17. Welche der nachfolgenden Personen ist kein Besitzdiener?,A) Der Mieter bezüglich seiner Mietwohnung,B) Der Ladendetektiv bezüglich der Waren,C) Der Patrouillenfahrer für den Dienstwagen,D) Die Kassiererin gegenüber dem Kassenbestand,.,
18. Die Haftung des Tierhalters gemäß § 833 BGB wird als sogenannte „Gefährdungs-Haftung“ bezeichnet. Was bedeutet diese Haftungsart?,A) Haftung unabhängig vom Verschulden,B) Haftungshöhe abhängig von der Schuld,C) Haftung bei grober Fahrlässigkeit,D) Haftung nur bei vorsätzlicher Gefährdung,.,
19. Mit welcher Rechtsgrundlage darf ein Sicherheitsmitarbeiter in der Einlasskontrolle einer Konzertveranstaltung einem Besucher gegen seinen Willen eine offensichtlich gefälschte Eintrittskarte wegnehmen und diese auch vernichten?,A) Notwehr gemäß § 227 BGB,B) Aggressiver Notstand gemäß § 904 BGB,C) Selbsthilfe des Besitzers gemäß § 859 BGB,D) Allgemeine Selbsthilfe gemäß § 229,.,
20. Wer handelt unerlaubt gemäß § 823 BGB?,A) Wer durch eine Notstandshandlung Sachen eines anderen beschädigt,B) Wer schuldhaft Rechte oder Rechtsgüter anderer widerrechtlich verletzt,C) Wer durch eine Notwehrhandlung die Gesundheit eines anderen beschädigt,.,.,
21. Ein Anspruch gemäß BGB...,"A) kann sich nur aus einem gegenseitigen Vertrag ergeben, z. B. aus einem Mietvertrag","B) kann auch ein Schadensersatzanspruch sein, z. B. nach einer unerlaubten Handlung","C) kann auch das Recht sein, von einem anderen eine Handlung oder ein Unterlassen zu verlangen",.,.,
22. In welchen Fällen ist der Handelnde gemäß BGB grundsätzlich zum Schadensersatz verpflichtet?,A) Im Falle einer Notwehr,B)  Im Falle eines Verteidigungsnotstands,"C)  Im Falle einer unerlaubten Handlung, wenn durch diese ein Schaden entstanden ist","D)  Im Falle von verbotener Eigenmacht, wenn durch diese ein Schaden entstanden ist",.,
23. Welche Aussagen zur unerlaubten Handlung sind gemäß § 823 BGB richtig?,"A)  Die Schadensersatzpflicht wird ausgelöst, wenn besonders geschützte Rechtsgüter widerrechtlich und schuldhaft verletzt werden, z.B. die Gesundheit und die Freiheit","B) Die Schadensersatzpflicht wird ausgeschlossen, wenn die Handlung gerechtfertigt war, z.B. durch Notwehr, um damit die Widerrechtlichkeit entfällt.","C) Die Schadensersatzpflicht besteht nur, wenn der Körper oder das Eigentum eines anderen widerrechtlich verletzt werden.","D) Die Schadensersatzpflicht besteht immer, auch wenn gesetzliche Rechtfertigungsgründe vorliegen",.,
24.  Was ist der Zweck der allgemeinen Selbsthilfe gemäß § 229 BGB? ,A) Sie unterstützt die Polizei bei der Verfolgung von Ordnungswidrigkeiten. ,B) Sie ermöglicht der Staatsanwaltschaft die Strafverfolgung. ,"C) Sie hat den Zweck, einen Anspruch mit privater Gewalt durchzusetzen oder zu sichern.",D) Sie erlaubt bei verbotener Eigenmacht die Besitzwehr oder Besitzkehr. ,.,
25. Ein zwölfjähriger Junge wird beim Ladendiebstahl erwischt und sticht mit einem Messer auf den Ladendetektiv ein. Was liegt strafrechtlich vor?,A) Erfüllte Straftatbestände,B) Schuldhaftes Handeln,C) Rechtswidrige Taten,D) Schadensersatzanspruch,.,
26. Welche Aussagen zu den unechten Unterlassungsdelikten sind gemäß StGB richtig?,A)  Täter des unechten Unterlassungsdelikts kann jede Person sein.,"B)  Die ""unterlassene Hilfeleistung"" gemäß § 232c ist ein unechtes Unterlassungsdelikt.",C) Täter des unechten Unterlassungsdelikts ist der Garant..,D) Bei den unechten Unterlassungsdelikten kann Garantenpflicht z.B. durch ein Gesetz begründet sein.,.,
"27 . Wie lautet der dreistufige „Deliktsaufbau“ (in richtiger Prüfungsreihenfolge) für eine Straftat?
","A) Handlung, Rechtswidrigkeit, Schuld
","B) Straftat, Schuld, Rechtswidrigkeit","C)  Schuld, Rechtswidrigkeit, Tatbestand
","D)  Tatbestand, Rechtswidrigkeit, Schuld
",.,
"28.  Welcher Rechtfertigungsgrund aus dem öffentlichen Recht erlaubt die Festnahme von Personen durch Sicherheitspersonal?
","A)  Notwehr gemäß § 32 StGB
",B)  Allgemeine Selbsthilfe gemäß § 229 BGB,C) Rechtfertigender Notstand gemäß § 34 StGB,D) Vorläufige Festnahme gemäß § 127 StPO,.,
"29. Welche Frist gilt für den Strafantrag durch den Geschädigten bei Antragsdelikten?
",A)  Innerhalb von vier Wochen,B) Innerhalb von drei Monaten,C)  Innerhalb von vierzehn Tagen,D) Unbefristet,.,
"30.  Im Sinne des Notwehrrechts ist ein Angriff „gegenwärtig“, wenn er…",A)  …unmittelbar bevorstehend,B) …vorbereitet wird,C)  …rechtswidrig ist,D)  …noch nicht beendet ist,.,
"31. Welchen Straftatbestand erfüllt ein Kaufhausdetektiv, der sich als Polizeibeamter ausgibt und einen Tatverdächtigen durchsucht?",A)  § 132 StGB Amtsanmaßung,"B)  § 185 StGB Beleidigung
",C)  § 239 StGB Freiheitsberaubung,D)  § 339 StGB Rechtsbeugung,.,
32.  Welche Tatbestandsmerkmale kennzeichnen die Körperverletzung gemäß § 223 StGB?,"A)  Leib und Leben
",B) Körperliche Misshandlung,C) Körperliche Unversehrtheit,D)  Gesundheitsbeschädigung,.,
"33.  Welcher Straftatbestand kann durch eine vorläufige Festnahme gemäß § 127 StPO gerechtfertigt werden?
",A) Körperverletzung gemäß § 223 StGB,B) Freiheitsberaubung gemäß § 239 StGB,C) Amtsanmaßung gemäß § 132 StGB,D)  Beleidigung gemäß § 185 StGB,.,
34. Welche Elemente kennzeichnen das Prinzip der Verhältnismäßigkeit?,A) Gerechtigkeit,B) Geeignetheit,C) Unvermeidlichkeit,"D) Erforderlichkeit
",.,
35. In welchen Fällen liegt fahrlässige Körperverletzung gemäß StGB vor?,A) Verletzung eines Fahrradfahrers durch einen unbeabsichtigten Verkehrsunfall,B) Ein beabsichtigter Faustschlag ins Gesicht bei einer Schlägerei führt zu einer aufgeschlagenen Lippe,C)  Die Verwendung einer Hiebwaffe bei einer Schlägerei führt beim Opfer zu einem Kieferbruch,"D) Ein Jogger rennt in hohem Tempo auf eine Fußgängergruppe zu, die ihm deshalb nicht rechtzeitig ausweichen kann. Durch den Aufprall des Joggers auf die Gruppe fällt ein Fußgänger zu Boden und erleidet eine Knieverletzung",.,
"36. . Türsteher T verweigert dem 30-jährigen M den Zutritt in die Diskothek. Daraufhin spuckt M dem T ins Gesicht und droht ihm mit geballter Faust Schläge an, um so den Einlass in die Diskothek zu erzwingen. T lässt sich aber nicht beeindrucken und setzt sich gegen M durch.
Welche Aussagen zu diesem Fall sind gemäß StGB richtig?
",A) M begeht eine vorsätzliche tätliche Beleidigung,B) M begeht einen versuchten Hausfriedensbruch,"C)  M begeht eine versuchte Nötigung
",D) M begeht eine vollendete Nötigung,.,
"37. Bei Sicherungstätigkeiten, wie z.B. in Asylunterkünften, können sich für das Wach- und Sicherungspersonals besondere Gefahren ergeben. Welche Aussagen dazu sind gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23 richtig?","A) Der Unternehmer ist verpflichtet, bei Sicherungstätigkeiten mit besonderen Gefahren z.B. mit einem hohem Konfliktpotential, immer zwei oder mehr Wachpersonen einzusetzen.",B) Der Unternehmer muss die zu sichernden Objekte zum Schutz des Wach- und Sicherungspersonals regelmäßig auf Gefahren überprüfen und festgestellte Gefahren beseitigen,"C)  Es darf nur Wach- und Sicherungspersonal eingesetzt werden, das über ausreichend Menschenkenntnis und Lebenserfahrung verfügt und die Sachkundeprüfung erfolgreich abgelegt hat.","D) Der Unternehmer muss sicherstellen, dass das Wach- und Sicherungspersonal überwacht wird, z.B. per Telefon oder Personen-Notsignal-Anlagen",.,
"38. Welche Pflichten hat der Unternehmer gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 1, Grundsätze der Prävention?",A) Er muss seine Mitarbeiter über Sicherheits- und Gesundheitsschutz bei der Arbeit vierteljährlich unterweisen. Die Unterweisung muss dokumentiert werden,"B)  Er muss dafür sorgen, dass nach einem Unfall unverzüglich Erste Hilfe geleistet und eine erforderliche ärztliche Versorgung veranlasst wird",C) Er muss seinen Mitarbeitern die für sein Unternehmen geltenden staatlichen Arbeitsschutzvorschriften nur gegen Empfangsbestätigung aushändigen,"D) Er muss dafür sorgen, dass seine Mitarbeiter bei einer Augen- oder Hals-, Nasen-, Ohrenverletzung vom nächsten Facharzt untersucht werden",.,
39. Wer handelt ordnungswidrig gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23?,"A) Das Wach- und Sicherungspersonal, wenn es als Brillenträger der Pflicht nicht nachkommt, a. die Brille gegen verlieren zu sichern
","B)  Das Wach- und Sicherungspersonal, wenn es unterlässt, durch Anlegen der Ausrüstungsgegenstände für ausreichende Bewegungsfreiheit zu sorgen","C) Das Wach- und Sicherungspersonal, wenn es während der Dienstzeiten alkoholische Getränke einnimmt","D) Der Bewachungsgewerbetreibende, wenn er das Verhalten des Wach- und Sicherungspersonals nicht durch Dienstanweisungen regelt",.,
40. Welche Ziele haben Unfallverhütungsvorschriften?,A) Die Nichtbeachtung von Unfallverhütungsvorschriften mit Strafen zu belegen,B) Arbeitsunfällen vorzubeugen,C) Sicherheitswidrige Mängel zu erkennen und zu melden,D) Die einheitliche Ausstattung mit Ausrüstung und Hilfsmitteln vorzuschreiben,.,
41. Die allgemeine Dienstanweisung im Wach- und Sicherheitsgewerbe regelt gemäß der UVV…,A) das Verhalten bei Konfrontationen.,B) Lohn- und Lohnfortzahlung im Krankheitsfall..,C) Urlaubszeiten und Überstundenregelungen.,D) das Melden von Gefahren und Mängeln.,E) Einsatzzeiten und Einsatzorte,
"42. Eine Wachperson, die im Dienst eine Schusswaffe führt, hat seit 8 Monaten nicht mehr an Schießübungen teilgenommen.
Welche Aussagen sind gemäß der Unfallverhütungsvorschrift DGUV Vorschrift 23 richtig?","A) Der Bewachungsgewerbetreibende darf die Wachperson mit einer Schusswaffe erneut ausrüsten, sobald diese an Schießübungen teilnimmt.","B) Der Bewachungsgewerbetreibende hat dafür zu sorgen, dass der Wachperson der Umgang mit der Dienstwaffe untersagt wird.",C) Der Bewachungsgewerbetreibende muss unverzüglich eine Meldung an die zuständige Gewerbebehörde machen.,"D) Der Bewachungsgewerbetreibende muss nichts veranlassen, da die Wachperson für die Schießausbildung selbst verantwortlich ist",.,
43. Was sind Wach- und Sicherungstätigkeiten gemäß DGUV V23?,A) Observation,B) Überprüfung von Fahrstühlen und Aufzügen,C) Geld- und Werttransport,D) Verkehrsregelung im öffentlichen Verkehrsraum,E) Personenschutz,
44. Wofür sind gemäß DGUV V23 besonderes Befähigungsnachweise für Wach- und Sicherheitstätigkeiten erforderlich?,A) Für das Führen von Diensthunden.,B) Für das Führen von Schusswaffen.,C)  Für die Eingangskontrolle bei einem Lebensmittellager.,D) Für die Besetzung der Pforte einer Edelsteinschleiferei.,E) Für das Begleiten von Besuchern eines Chemiewerkes,.
45. Was sind gemäß WaffG Anscheinswaffen?,"A) Schusswaffen, die ihrer äußeren Form nach den Anschein von Feuerwaffen hervorrufen und bei denen zum Antrieb der Geschosse keine heißen Gase verwendet werden",B) Schreckschussrevolver mit dem Kennzeichen „PTB im Kreis“,"C) Gegenstände, die in ihrem Wesen nach dazu bestimmt sind, mittels Muskelkraft durch Hieb, Stoß, Stich, Schlag oder Wurf Verletzungen beizubringen",D)  Feststehende Messer mit einer Klingenlänge von über 12 cm,.,
46. Wozu berechtigt der Waffenschein gemäß WaffG?,A) Zum Erwerb von Schusswaffen,B) Zum Führen von halbautomatischen Pistolen,C) Zum Erwerb von Munition,D) Zum Besitz von Waffen,.,
47. Was sind verbotene Waffen gemäß WaffG?,A) Armbrüste,B) Stahlruten,C) Schreckschusswaffen,D) Wurfsterne,.,
"48. Was muss gemäß WaffG getan werden, wenn eine erlaubnispflichtige Schusswaffe verloren geht?",A) Nach der Waffe muss sofort gesucht werden. Ein Verlustprotokoll ist zu erstellen.,B) Der Vorfall muss unverzüglich der zuständigen Behörde angezeigt werden.,C) Der Verlust der Waffe muss bei der zuständigen Behörde innerhalb einer Woche angezeigt werden.,D) Die Waffenbesitzkarte ist der zuständigen Behörde zur Berichtigung vorzulegen.,.,
49. Wer hat keine Vorurteile?,A) Niemand,B) Ausländer,C) Frauen,D) Kinder,.,
50. Welche Katastrophe kann eine Panik verursachen?,A) Radioaktiver Störfall,B) Lauter Knall,C) Stromausfall,D) Schreie anderer Menschen,.,
"51. Welche körperlichen Auswirkungen hat die Ausschüttung des Stresshormons „Adrenalin""?",A) Bewusstseinserweiterung,B) Steigerung der Herzfrequenz,C) Magen- und Darmprobleme,D) Freisetzung von Energiereserven,.,
52. Welche Art von Fragen ermöglicht ein breites Spektrum an Antworten?,A) Alternativfragen,B) Suggestive Fragen,C) Geschlossene Fragen,D) Offene Fragen,.,
53. Welche Grundannahme formulierte der Psychologe Paul Watzlawick?,A) Man kann nicht kommunizieren,B) Man kann nicht „nicht kommunizieren“,C) Jede Kommunikation hat einen Inhalts- und Beziehungsaspekt,D) Die Sachinformation ist wichtiger als die Beziehung zum anderen,.,
"54. Wie wird der psychologische Wahrnehmungsfehler bezeichnet, aufgrund dessen einem Geschäftsführer mehr Kompetenz zugeschrieben wird, als einem Wachmann?",A) Halo- Effekt,B) Erster Eindruck,C) Kontrasteffekt,D) Hierarchieeffekt,.,
55. Trotz Belehrung durch die Sicherheitskraft will ein Fahrgast die Zigarette in der Rauchverbotszone nicht ausmachen. Um welche Art von Konflikt kann es sich hierbei handeln?,A) Zielkonflikt,B) Rollenkonflikt,C) Identitätskonflikt,D) Informationskonflikt,.,
"56. Der neue Auszubildende wird zu einem Personalgespräch in das Büro des Personalleiters bestellt. Dort angekommen, setzt er sich halb stehend auf den Schreibtisch seines Vorgesetzten und fragt: „Was gibt's Chef?"". Welche Aussage zu dieser Situation ist richtig?",A) Der Personalleiter wird aggressiv und kündigt den Azubi,B) Der Azubi hat aufgrund seines jungen Alters keine Manieren,C) Ein Konflikt zwischen Azubi und Personalleiter ist wahrscheinlich,D) Der Azubi dringt in den persönlichen Bereich des Personalleiters ein,.,
57. In welchen Fällen wird Stress positiv empfunden?,A)  Wenn er durch Angst ausgelöst wird,B)  Wenn er durch Frustration ausgelöst wird,C)  Wenn er durch lange Wartezeit ausgelöst wird,D)  Wenn er durch eine schwierige Aufgabe ausgelöst wird,E)  Wenn er durch ein erfolgreiches Bewebungsgespräch ausgelöst wird,
58. Zwei randalierende Jugendliche beschädigen des Nachts mehrere fremde Fahrzeuge in einer Wohnsiedlung. Welche Form der Aggression liegt hier offensichtlich vor?,A) Autoaggression,B) Verdeckte Aggression,C) Indirekte Aggression,D) Offene Aggression,.,
59. Was unterscheidet die Psychologie von der Menschenkenntnis?,A) Psychologie und Menschenkenntnis unterscheiden sich nur geringfügig voneinander,"B) Psychologie ist im Gegensatz zur Menschenkenntnis objektiv, begründet und überprüfbar","C) Menschenkenntnis ist die Fähigkeit, andere Menschen richtig einschätzen und mit ihnen geschickt umgehen zu können",D) Menschenkenntnis ist objektiv und klar begründet. Man sollte sich immer auf den „gesunden Menschenverstand“ verlassen,.,
60. Welche Aussage zu Prozess der Kommunikation ist richtig?,"A) An einer Kommunikation nehmen maximal nur zwei Personen teil, der Sender und der Empfänger",B) Die Kommunikation beschreibt ausschließlich die Übermittlung von Informationen mittels Sprache,C) Die Kommunikation ist eine soziale Interaktion zwischen zwei oder mehreren Personen,D) Die Kommunikation ist ein wechselseitiger Prozess des Sendens und Empfangen von Informationen,.,
61. Wer ist selbstsicher?,"A) Wer handlungssicher und kompetent auftritt
",B) Wer seine Machtposition ausnutzt,C) Wer eine gefestigte Persönlichkeit besitzt,D) Wer sich durch jede Art von Kritik verletzt fühlt,.,
"62.  Bei einer Teambesprechung behauptet ein Mitarbeiter, dass bei dienstlichen Problemen Emotionalität wichtiger sei als rein sachliches Verhalten. Wie ist diese Aussage zu bewerten? ","A) Emotionen muss der Mensch im Dienst ausleben, sonst kommt es zu einer inneren Anspannung und zu Überreaktionen
","B) Emotionen sind wichtig, sie können jedoch die Sachebene beeinflussen und so zu falschen Entscheidungen führen",C) Ausgelebte Emotionalität verbessert grundsätzlich das Betriebsklima und die Arbeitsmotivation,"D) Bei zu viel Emotionalität besteht die Gefahr, dass Probleme persönlich genommen werden und korrektes Handeln erschwert wird",.,
63. Welche Verhaltensweisen kennzeichnen aktives Zuhören? ,"A) Zustimmendes Kopfnicken
",B) Unterschiedliche Standpunkte sachlich erörtern,C) Den Gesprächspartner ununterbrochen anstarren,D) Das Gespräch auf die Beziehungsebene lenken,.,
"64. Was ist unter dem Begriff ""Deeskalation"" zu verstehen?","A) Das Hochschaukeln einer Situation
",B) Die stufenweise Entspannung einer Konfliktsituation,C) Die gewaltsame Beseitigung einer Konfliktsituation,"D) Aggression, wo immer sie auftaucht, zu verstehen, zu verändern und zu vermeiden",.,
"65. Welche Aussage zu einbruchhemmenden Türen kann der ""Widerstandsklasse 1"" (RC 1 gemäß DIN EN 1627) zugeordnet werden?",A) Schutz gegen Aufbruch mit körperlicher Gewalt,B) Schutz gegen Aufbruch mit Schraubendreher und Zange,C) Schutz gegen Aufbruch mit Säge- und Schlagwerkzeugen,D) Schutz gegen Aufbruch mit leistungsfähigen Elektrowerkzeugen,.,
66. Welche im Erdgeschoss montierten Fenster bieten Einbrechern sehr geringen Widerstand?,"A) Fenster, die nur auf Wärmedämmung ausgelegt sind","B) Fenster, in denen zur Sicherung Rollzapfen eingebaut sind",C)  Fenster mit durchwurfhemmender Sicherheitsverglasung,D) Fenster mit im Mauerwerk fest verankerten Metallschutzgittern,.,
67. Welchen Zweck dienen Einbruchmeldeanlagen?,"A) Sie sollen beispielsweise durch Abschreckung Einbrüche, Diebstähle und Überfälle verhindern","B) Sie sollen witterungsbedingte Gefahren im Freigelände feststellen, dokumentieren und melden",C) Sie sollen im Notfall Hilfe leistende Stellen wie Polizei oder Sicherheitsdienst benachrichtigen,"D) Sie sollen Störungen an Klimaaniagen, Siromversorgungseinrichtungen und Aufzugsanlagen feststellen und an Notdienste melden",.,
68.  Welche Melder können für die Auslösung eines Überfallalarms eingesetzt werden?,A) Druckknopfmelder,B) Bewegungsmelder,C)  Kontaktschienen,D) Körperschallmelder,.,
69. Welche Feuerlöscher sind für die Brandklasse B geeignet?,A) Pulverlöscher,B) Pulverlöscher mit Metallbrandlöschpulver,C) Kohlendioxydlöscher,D) Wasserlöscher,.,
"70.  Signalgeber (auch Alarmgeber oder Alarmierungseinrichtungen) als Teil einer Gefahrenmeldeanlage dienen dem Zweck, … ",A)  …Personen auf eine Gefahr aufmerksam zu machen,B)  ausschließlich Einsatzinformationen an die Polizei weiterzuleiten,C)  Personen zur Hilfeleistung aufzufordern,.,.,
71. Welche Sicherheitsfaktoren müssen in einem Sicherungskonzept gleichermaßen Beachtung finden?,"A)  Minimaler Kostenaufwand, hohe Schadenversicherung, anerkannte Regeln der Technik ","B) mechanische Grundsicherung, elektronische Überwachung, Personal und Organisation","C)  maximale Sicherheit durch moderne Elektronik, hoher Kosteneinsatz, Senkung der Personalkosten durch technische Lösungen ",.,.,
"72. Was bedeuetet ""Duplex_Betrieb"" beim Funkbetrieb?",A) Die Datenübertragung ist nur in abwechselnd in beide Richtungen einer Telekommunikationsverbindung möglich.,B)  Die Datenübertragung ist nur in eine Richtung möglich.,C) Die Datenübertragung ist gleichzeitig in beiden Richtungen einer Telekommunikationsverbindung möglich.,D) Die Datenübertragung ist nur zwischen zwei ortsfesten Funkstellen möglich.,.,